timestamp,value,status
2026-02-03 19:19:10.086,1.16,Excellent
2026-02-03 19:19:15.050,1.15,Excellent
2026-02-03 19:19:20.075,1.15,Excellent
2026-02-03 19:19:25.056,1.15,Excellent
2026-02-03 19:19:30.076,1.13,Excellent
2026-02-03 19:19:35.109,1.13,Excellent
2026-02-03 19:19:40.075,1.13,Excellent
2026-02-03 19:19:45.101,1.14,Excellent
2026-02-03 19:19:50.076,1.14,Excellent
2026-02-03 19:19:55.124,1.14,Excellent
2026-02-03 19:20:00.084,1.16,Excellent
2026-02-03 19:20:05.083,1.16,Excellent
2026-02-03 19:20:09.648,1.16,Excellent
2026-02-03 19:20:14.629,1.16,Excellent
2026-02-03 19:20:19.638,1.16,Excellent
2026-02-03 19:20:24.655,1.16,Excellent
2026-02-03 19:20:29.650,1.12,Excellent
2026-02-03 19:20:34.654,1.12,Excellent
2026-02-03 19:20:39.671,1.12,Excellent
2026-02-03 19:20:44.639,1.13,Excellent
2026-02-03 19:20:49.632,1.13,Excellent
2026-02-03 19:20:54.629,1.13,Excellent
2026-02-03 19:20:59.644,1.35,Excellent
2026-02-03 19:21:04.707,1.35,Excellent
2026-02-03 19:21:10.400,1.39,Excellent
2026-02-03 19:21:15.074,1.42,Excellent
2026-02-03 19:21:20.095,1.42,Excellent
2026-02-03 19:21:25.095,1.42,Excellent
2026-02-03 19:21:30.103,1.42,Excellent
2026-02-03 19:21:35.091,1.42,Excellent
2026-02-03 19:21:40.080,1.42,Excellent
2026-02-03 19:21:45.101,1.43,Excellent
2026-02-03 19:21:50.072,1.43,Excellent
2026-02-03 19:21:55.084,1.43,Excellent
2026-02-03 19:22:00.074,1.46,Excellent
2026-02-03 19:22:05.094,1.46,Excellent
2026-02-03 19:23:00.383,1.48,Excellent
2026-02-03 19:24:00.424,1.07,Excellent
2026-02-03 19:24:13.509,1.11,Excellent
2026-02-03 19:24:14.952,1.11,Excellent
2026-02-03 19:24:20.113,1.11,Excellent
2026-02-03 19:24:25.088,1.11,Excellent
2026-02-03 19:24:30.090,1.11,Excellent
2026-02-03 19:24:35.136,1.11,Excellent
2026-02-03 19:24:40.108,1.11,Excellent
2026-02-03 19:24:45.081,1.09,Excellent
2026-02-03 19:24:50.115,1.09,Excellent
2026-02-03 19:24:55.105,1.09,Excellent
2026-02-03 19:25:00.081,1.1,Excellent
2026-02-03 19:25:05.058,1.1,Excellent
2026-02-03 19:25:10.116,1.1,Excellent
2026-02-03 19:25:15.079,1.09,Excellent
2026-02-03 19:26:00.436,0.89,Excellent
2026-02-03 19:27:00.472,0.79,Excellent
2026-02-03 19:28:00.095,0.82,Excellent
2026-02-03 19:29:00.493,0.87,Excellent
2026-02-03 19:30:02.796,0.85,Excellent
2026-02-03 19:31:04.755,0.82,Excellent
2026-02-03 19:31:31.085,0.85,Excellent
2026-02-03 19:31:35.061,0.85,Excellent
2026-02-03 19:31:40.138,0.85,Excellent
2026-02-03 19:31:45.082,0.84,Excellent
2026-02-03 19:31:50.063,0.84,Excellent
2026-02-03 19:31:55.106,0.84,Excellent
2026-02-03 19:32:00.079,0.82,Excellent
2026-02-03 19:32:05.089,0.82,Excellent
2026-02-03 19:32:10.124,0.82,Excellent
2026-02-03 19:32:15.075,0.78,Excellent
2026-02-03 19:32:20.108,0.78,Excellent
2026-02-03 19:32:25.079,0.78,Excellent
2026-02-03 19:32:30.081,0.8,Excellent
2026-02-03 19:33:00.440,0.81,Excellent
2026-02-03 19:33:43.101,0.74,Excellent
2026-02-03 19:33:45.108,0.74,Excellent
2026-02-03 19:33:50.107,0.74,Excellent
2026-02-03 19:33:55.099,0.74,Excellent
2026-02-03 19:34:00.066,0.75,Excellent
2026-02-03 19:34:05.140,0.75,Excellent
2026-02-03 19:34:10.072,0.75,Excellent
2026-02-03 19:34:15.063,0.77,Excellent
2026-02-03 19:34:20.070,0.77,Excellent
2026-02-03 19:34:25.115,0.77,Excellent
2026-02-03 19:34:30.082,0.77,Excellent
2026-02-03 19:34:35.077,0.77,Excellent
2026-02-03 19:34:40.094,0.77,Excellent
2026-02-03 19:35:00.366,0.74,Excellent
2026-02-03 19:36:00.092,0.77,Excellent
2026-02-03 19:37:00.399,0.78,Excellent
2026-02-03 19:38:00.115,0.77,Excellent
2026-02-03 19:39:00.423,0.83,Excellent
2026-02-03 19:40:00.133,0.9,Excellent
2026-02-03 19:40:27.622,0.92,Excellent
2026-02-03 19:40:29.667,0.92,Excellent
2026-02-03 19:41:51.508,0.9,Excellent
2026-02-03 19:41:58.414,0.95,Excellent
