timestamp,value,status
2026-02-03 19:17:25.831,86.25,Critical
2026-02-03 19:17:30.822,86.25,Critical
2026-02-03 19:17:35.863,86.25,Critical
2026-02-03 19:17:45.044,86.25,Critical
2026-02-03 19:17:50.068,86.25,Critical
2026-02-03 19:17:55.064,86.25,Critical
2026-02-03 19:18:00.068,86.23,Critical
2026-02-03 19:18:05.093,86.23,Critical
2026-02-03 19:18:10.044,86.23,Critical
2026-02-03 19:18:15.061,86.24,Critical
2026-02-03 19:18:20.133,86.24,Critical
2026-02-03 19:18:25.066,86.24,Critical
2026-02-03 19:18:30.074,86.24,Critical
2026-02-03 19:18:35.101,86.24,Critical
2026-02-03 19:18:40.076,86.24,Critical
2026-02-03 19:18:45.074,86.24,Critical
2026-02-03 19:18:50.068,86.24,Critical
2026-02-03 19:18:55.065,86.24,Critical
2026-02-03 19:19:00.079,86.24,Critical
2026-02-03 19:19:05.092,86.24,Critical
2026-02-03 19:19:10.086,86.24,Critical
2026-02-03 19:19:15.050,86.24,Critical
2026-02-03 19:19:20.075,86.24,Critical
2026-02-03 19:19:25.056,86.24,Critical
2026-02-03 19:19:30.076,86.24,Critical
2026-02-03 19:19:35.109,86.24,Critical
2026-02-03 19:19:40.075,86.24,Critical
2026-02-03 19:19:45.101,86.24,Critical
2026-02-03 19:19:50.076,86.24,Critical
2026-02-03 19:19:55.124,86.24,Critical
2026-02-03 19:20:00.084,86.24,Critical
2026-02-03 19:20:05.083,86.24,Critical
2026-02-03 19:20:09.648,86.24,Critical
2026-02-03 19:20:14.629,86.24,Critical
2026-02-03 19:20:19.638,86.24,Critical
2026-02-03 19:20:24.655,86.24,Critical
2026-02-03 19:20:29.650,86.24,Critical
2026-02-03 19:20:34.654,86.24,Critical
2026-02-03 19:20:39.671,86.24,Critical
2026-02-03 19:20:59.644,86.24,Critical
2026-02-03 19:21:04.707,86.24,Critical
2026-02-03 19:21:10.400,86.24,Critical
2026-02-03 19:21:15.074,86.23,Critical
2026-02-03 19:21:20.095,86.23,Critical
2026-02-03 19:21:25.095,86.23,Critical
2026-02-03 19:21:30.103,86.23,Critical
2026-02-03 19:21:35.091,86.23,Critical
2026-02-03 19:21:40.080,86.23,Critical
2026-02-03 19:21:45.101,86.23,Critical
2026-02-03 19:21:50.072,86.23,Critical
2026-02-03 19:21:55.084,86.23,Critical
2026-02-03 19:22:00.074,86.23,Critical
2026-02-03 19:22:05.094,86.23,Critical
2026-02-03 19:23:00.383,86.23,Critical
2026-02-03 19:24:00.424,86.23,Critical
2026-02-03 19:24:13.509,86.23,Critical
2026-02-03 19:24:14.952,86.23,Critical
2026-02-03 19:24:20.113,86.23,Critical
2026-02-03 19:24:25.088,86.23,Critical
2026-02-03 19:24:30.090,86.23,Critical
2026-02-03 19:24:35.136,86.23,Critical
2026-02-03 19:24:40.108,86.23,Critical
2026-02-03 19:24:45.081,86.23,Critical
2026-02-03 19:24:50.115,86.23,Critical
2026-02-03 19:24:55.105,86.23,Critical
2026-02-03 19:25:00.081,86.23,Critical
2026-02-03 19:25:05.058,86.23,Critical
2026-02-03 19:25:10.116,86.23,Critical
2026-02-03 19:25:15.079,86.23,Critical
2026-02-03 19:26:00.436,86.23,Critical
2026-02-03 19:27:00.472,86.23,Critical
2026-02-03 19:28:00.095,86.23,Critical
2026-02-03 19:29:00.493,86.23,Critical
2026-02-03 19:30:02.796,86.23,Critical
2026-02-03 19:31:04.755,86.23,Critical
2026-02-03 19:31:31.085,86.23,Critical
2026-02-03 19:31:35.061,86.23,Critical
2026-02-03 19:31:40.138,86.23,Critical
2026-02-03 19:31:45.082,86.23,Critical
2026-02-03 19:31:50.063,86.23,Critical
2026-02-03 19:31:55.106,86.23,Critical
2026-02-03 19:32:00.079,86.23,Critical
2026-02-03 19:32:05.089,86.23,Critical
2026-02-03 19:32:10.124,86.23,Critical
2026-02-03 19:32:15.075,86.23,Critical
2026-02-03 19:32:20.108,86.23,Critical
2026-02-03 19:32:25.079,86.23,Critical
2026-02-03 19:32:30.081,86.23,Critical
2026-02-03 19:33:00.440,86.23,Critical
2026-02-03 19:33:43.101,86.23,Critical
2026-02-03 19:33:45.108,86.23,Critical
2026-02-03 19:33:50.107,86.23,Critical
2026-02-03 19:33:55.099,86.23,Critical
2026-02-03 19:34:00.066,86.23,Critical
2026-02-03 19:34:05.140,86.23,Critical
2026-02-03 19:34:10.072,86.23,Critical
2026-02-03 19:34:15.063,86.23,Critical
2026-02-03 19:34:20.070,86.23,Critical
2026-02-03 19:34:25.115,86.23,Critical
2026-02-03 19:34:30.082,86.23,Critical
2026-02-03 19:34:35.077,86.23,Critical
2026-02-03 19:34:40.094,86.23,Critical
2026-02-03 19:35:00.366,86.23,Critical
2026-02-03 19:36:00.092,86.23,Critical
2026-02-03 19:37:00.399,86.23,Critical
2026-02-03 19:38:00.115,86.23,Critical
2026-02-03 19:39:00.423,86.23,Critical
2026-02-03 19:40:00.133,86.23,Critical
2026-02-03 19:40:27.622,86.23,Critical
2026-02-03 19:40:29.667,86.23,Critical
2026-02-03 19:41:51.508,86.23,Critical
2026-02-03 19:41:58.414,86.23,Critical
