timestamp,value,status
2026-02-03 19:41:16.258,0.65,Excellent
2026-02-03 19:41:21.276,0.65,Excellent
2026-02-03 19:41:26.259,0.61,Excellent
2026-02-03 19:41:31.267,0.61,Excellent
2026-02-03 19:41:36.250,0.61,Excellent
2026-02-03 19:41:41.276,0.58,Excellent
2026-02-03 19:41:46.265,0.58,Excellent
2026-02-03 19:41:51.252,0.58,Excellent
2026-02-03 19:42:01.525,0.57,Excellent
2026-02-03 19:42:06.561,0.57,Excellent
2026-02-03 19:42:11.523,1.01,Excellent
2026-02-03 19:42:16.524,1.01,Excellent
2026-02-03 19:42:21.502,1.01,Excellent
2026-02-03 19:42:27.381,0.99,Excellent
2026-02-03 19:42:32.097,0.99,Excellent
2026-02-03 19:42:37.060,0.97,Excellent
2026-02-03 19:42:42.054,0.97,Excellent
2026-02-03 19:42:47.065,0.97,Excellent
2026-02-03 19:42:52.064,0.94,Excellent
2026-02-03 19:42:57.066,0.94,Excellent
2026-02-03 19:43:02.066,0.94,Excellent
2026-02-03 19:43:07.081,0.91,Excellent
2026-02-03 19:43:12.068,0.91,Excellent
2026-02-03 19:43:17.094,0.91,Excellent
2026-02-03 19:43:22.070,0.88,Excellent
2026-02-03 19:44:00.401,0.83,Excellent
2026-02-03 19:44:29.328,0.85,Excellent
2026-02-03 19:45:00.067,0.88,Excellent
2026-02-03 19:49:00.145,0.77,Excellent
2026-02-03 19:50:00.437,0.47,Excellent
2026-02-03 19:51:01.522,0.66,Excellent
2026-02-03 19:52:00.436,0.6,Excellent
2026-02-03 19:53:00.081,0.68,Excellent
2026-02-03 19:54:00.391,0.68,Excellent
2026-02-03 19:55:00.100,0.73,Excellent
2026-02-03 19:56:00.596,0.71,Excellent
2026-02-03 19:57:00.146,0.71,Excellent
2026-02-03 19:58:00.393,0.62,Excellent
2026-02-03 19:59:00.081,0.57,Excellent
2026-02-03 20:00:00.410,0.54,Excellent
2026-02-03 20:01:00.085,0.52,Excellent
2026-02-03 20:02:00.427,0.58,Excellent
2026-02-03 20:09:35.018,1.6,Excellent
2026-02-03 20:10:09.320,0.73,Excellent
2026-02-03 20:10:13.581,0.73,Excellent
2026-02-03 20:10:18.579,0.73,Excellent
2026-02-03 20:10:23.566,0.75,Excellent
2026-02-03 20:10:28.597,0.75,Excellent
2026-02-03 20:10:33.603,0.75,Excellent
2026-02-03 20:10:38.592,0.87,Excellent
2026-02-03 20:10:43.575,0.87,Excellent
2026-02-03 20:10:48.582,0.87,Excellent
2026-02-03 20:10:53.596,1.29,Excellent
2026-02-03 20:10:58.584,1.29,Excellent
2026-02-03 20:11:03.592,1.29,Excellent
2026-02-03 20:11:08.572,1.47,Excellent
2026-02-03 20:11:13.599,1.47,Excellent
2026-02-03 20:11:22.516,1.46,Excellent
2026-02-03 20:11:27.564,1.46,Excellent
2026-02-03 20:11:32.524,1.46,Excellent
2026-02-03 20:11:38.425,1.49,Excellent
2026-02-03 20:11:43.069,1.49,Excellent
2026-02-03 20:11:48.090,1.49,Excellent
2026-02-03 20:11:53.086,1.48,Excellent
2026-02-03 20:11:58.067,1.48,Excellent
2026-02-03 20:12:03.113,1.48,Excellent
2026-02-03 20:12:08.064,1.46,Excellent
2026-02-03 20:12:13.067,1.46,Excellent
2026-02-03 20:12:18.101,1.46,Excellent
2026-02-03 20:12:23.097,1.45,Excellent
2026-02-03 20:12:28.069,1.45,Excellent
2026-02-03 20:12:33.110,1.45,Excellent
2026-02-03 20:13:00.401,1.43,Excellent
2026-02-03 20:14:00.067,1.42,Excellent
2026-02-03 20:15:00.381,1.36,Excellent
2026-02-03 20:16:00.319,0.86,Excellent
2026-02-03 20:16:10.470,0.68,Excellent
2026-02-03 20:16:15.767,0.68,Excellent
2026-02-03 20:16:24.120,0.65,Excellent
2026-02-03 20:16:29.116,0.65,Excellent
2026-02-03 20:16:35.097,0.65,Excellent
2026-02-03 20:16:39.303,0.62,Excellent
2026-02-03 20:16:45.391,0.62,Excellent
2026-02-03 20:16:50.070,0.62,Excellent
2026-02-03 20:16:55.055,0.63,Excellent
2026-02-03 20:16:56.652,0.63,Excellent
2026-02-03 20:16:58.348,0.63,Excellent
2026-02-03 20:17:03.377,0.63,Excellent
2026-02-03 20:17:08.379,0.64,Excellent
2026-02-03 20:17:13.379,0.64,Excellent
2026-02-03 20:17:18.895,0.64,Excellent
2026-02-03 20:17:24.071,0.68,Excellent
2026-02-03 20:17:29.061,0.68,Excellent
2026-02-03 20:17:32.713,0.68,Excellent
2026-02-03 20:17:38.078,0.66,Excellent
2026-02-03 20:17:43.081,0.66,Excellent
2026-02-03 20:17:48.082,0.66,Excellent
2026-02-03 20:17:53.427,0.66,Excellent
2026-02-03 20:17:57.741,0.66,Excellent
2026-02-03 20:18:02.737,0.66,Excellent
2026-02-03 20:18:08.072,0.66,Excellent
2026-02-03 20:18:13.080,0.66,Excellent
2026-02-03 20:18:18.077,0.66,Excellent
2026-02-03 20:18:23.056,0.64,Excellent
2026-02-03 20:18:28.081,0.64,Excellent
2026-02-03 20:18:33.091,0.64,Excellent
2026-02-03 20:18:38.052,0.62,Excellent
2026-02-03 20:18:43.046,0.62,Excellent
2026-02-03 20:18:48.097,0.62,Excellent
2026-02-03 20:18:53.073,0.62,Excellent
2026-02-03 20:18:58.055,0.62,Excellent
2026-02-03 20:19:03.059,0.62,Excellent
2026-02-03 20:20:00.375,0.61,Excellent
2026-02-03 20:21:00.062,0.53,Excellent
2026-02-03 20:22:00.754,0.58,Excellent
2026-02-03 20:22:34.720,0.56,Excellent
2026-02-03 20:22:37.102,0.6,Excellent
2026-02-03 20:22:42.083,0.6,Excellent
2026-02-03 20:22:47.099,0.6,Excellent
2026-02-03 20:22:52.103,0.79,Excellent
2026-02-03 20:22:57.081,0.79,Excellent
2026-02-03 20:23:02.095,0.79,Excellent
2026-02-03 20:23:08.087,0.79,Excellent
2026-02-03 20:23:13.073,0.79,Excellent
2026-02-03 20:23:18.066,0.79,Excellent
2026-02-03 20:23:23.074,0.78,Excellent
2026-02-03 20:23:28.063,0.78,Excellent
2026-02-03 20:23:33.083,0.78,Excellent
2026-02-03 20:23:38.054,0.79,Excellent
